Name,Type,HBCU,HSI,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Pell_Grant,Federal_Loan,logEndowment
Maine Maritime Academy,Public,No,No,28208,10196,12443,0.3321,0.9313,7.531
Saint Joseph's College of Maine,Private,No,No,52614,7889,6365,0.3066,0.8962,7.15
University of Southern Maine,Public,No,No,19582,8621,9290,0.4333,0.5874,7.586
University of Baltimore,Public,No,No,24521,13451,11251,0.425,0.275,7.708
Bowie State University,Public,Yes,No,22891,8096,8851,0.5768,0.6554,7.06
Coppin State University,Public,Yes,No,17787,11715,8241,0.722,0.6612,7.077
Frostburg State University,Public,No,No,24650,8677,7415,0.4438,0.5751,7.457
Johns Hopkins University,Private,No,No,74001,84825,15417,0.1959,0.1464,9.798
University of Maryland-Baltimore County,Public,No,No,25997,11716,10585,0.2346,0.3174,8.009
University of Maryland-College Park,Public,No,No,27343,15200,13763,0.148,0.2533,8.84
University of Maryland Eastern Shore,Public,Yes,No,24348,16128,8706,0.5846,0.6476,7.473
Morgan State University,Public,Yes,No,23254,9565,9665,0.5582,0.7861,7.608
Mount St. Mary's University,Private,No,No,57867,8993,7835,0.2495,0.6257,7.735
St. Mary's College of Maryland,Public,No,No,30610,15160,7922,0.2219,0.7531,7.57
Towson University,Public,No,No,25697,7098,7864,0.2904,0.5084,7.944
American International College,Private,No,No,51505,6709,7477,0.5238,0.8386,7.315
Amherst College,Private,No,No,76750,32264,12844,0.2383,0.1043,9.393
Babson College,Private,No,No,72378,15720,17640,0.1383,0.3333,8.662
Bay Path University,Private,No,No,48102,7515,7230,0.688,0.92,7.729
Becker College,Private,No,No,55633,6911,7073,0.4363,0.7606,6.709
Bentley University,Private,No,No,71094,15484,14793,0.1516,0.4443,8.442
